hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,is_corporate_booking,customer_group,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,total_nights,revenue,arrival_date,guest_count,room_changed
Resort Hotel,0,18,2015,July,27,1,0,4,2,1,0,HB,ESP,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,241,NULL,0,Non-Corporate,0,Transient,154.77,0,1,Check-Out,"Sunday, July 5, 2015",4,619.08,"Wednesday, July 1, 2015",3,No change
Resort Hotel,0,37,2015,July,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241,NULL,0,Non-Corporate,0,Transient,94.71,0,0,Check-Out,"Sunday, July 5, 2015",4,378.84,"Wednesday, July 1, 2015",2,No change
Resort Hotel,0,68,2015,July,27,1,0,4,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,97,0,3,Check-Out,"Sunday, July 5, 2015",4,388,"Wednesday, July 1, 2015",2,Changed
Resort Hotel,0,37,2015,July,27,1,0,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,8,NULL,0,Non-Corporate,0,Contract,97.5,0,0,Check-Out,"Sunday, July 5, 2015",4,390,"Wednesday, July 1, 2015",2,No change
Resort Hotel,0,12,2015,July,27,1,0,1,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,88.2,0,0,Check-Out,"Thursday, July 2, 2015",1,88.2,"Wednesday, July 1, 2015",2,Changed
Resort Hotel,0,0,2015,July,27,1,0,1,2,0,0,BB,FRA,Corporate,Corporate,0,0,0,A,G,0,No Deposit,No Agent,110,1,Corporate,0,Transient,107.42,0,0,Check-Out,"Thursday, July 2, 2015",1,107.42,"Wednesday, July 1, 2015",2,Changed
Resort Hotel,0,7,2015,July,27,1,0,4,2,0,0,BB,GBR,Direct,Direct,0,0,0,G,G,0,No Deposit,250,NULL,0,Non-Corporate,0,Transient,153,0,1,Check-Out,"Sunday, July 5, 2015",4,612,"Wednesday, July 1, 2015",2,No change
Resort Hotel,0,37,2015,July,27,1,1,4,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241,NULL,0,Non-Corporate,0,Transient,97.29,0,1,Check-Out,"Monday, July 6, 2015",5,486.45,"Wednesday, July 1, 2015",1,No change
Resort Hotel,0,72,2015,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250,NULL,0,Non-Corporate,0,Transient,84.67,0,1,Check-Out,"Tuesday, July 7, 2015",6,508.02,"Wednesday, July 1, 2015",2,No change
Resort Hotel,0,72,2015,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250,NULL,0,Non-Corporate,0,Transient,99.67,0,1,Check-Out,"Tuesday, July 7, 2015",6,598.02,"Wednesday, July 1, 2015",2,No change
Resort Hotel,0,127,2015,July,27,1,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,I,0,No Deposit,115,NULL,0,Non-Corporate,0,Contract,94.95,0,1,Check-Out,"Wednesday, July 1, 2015",7,664.65,"Wednesday, July 1, 2015",2,Changed
Resort Hotel,0,78,2015,July,27,1,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,NULL,0,Non-Corporate,0,Transient,63.6,1,0,Check-Out,"Wednesday, July 8, 2015",7,445.2,"Wednesday, July 1, 2015",2,No change
Resort Hotel,0,48,2015,July,27,1,2,5,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,NULL,0,Non-Corporate,0,Contract,79.5,0,0,Check-Out,"Wednesday, July 8, 2015",7,556.5,"Wednesday, July 1, 2015",2,No change
Resort Hotel,1,60,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,107,0,2,Canceled,"Monday, May 11, 2015",7,749,"Wednesday, July 1, 2015",2,No change
Resort Hotel,0,77,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,94,0,0,Check-Out,"Wednesday, July 8, 2015",7,658,"Wednesday, July 1, 2015",2,No change
Resort Hotel,0,99,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,87.3,1,1,Check-Out,"Wednesday, July 8, 2015",7,611.1,"Wednesday, July 1, 2015",2,No change
Resort Hotel,0,118,2015,July,27,1,4,10,1,0,0,BB,UNKNOWN,Direct,Direct,0,0,0,A,A,2,No Deposit,No Agent,NULL,0,Non-Corporate,0,Transient,62,0,2,Check-Out,"Wednesday, July 15, 2015",14,868,"Wednesday, July 1, 2015",1,No change
Resort Hotel,0,95,2015,July,27,1,4,11,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,241,NULL,0,Non-Corporate,0,Transient,63.86,0,0,Check-Out,"Thursday, July 16, 2015",15,957.9,"Wednesday, July 1, 2015",2,No change
Resort Hotel,1,96,2015,July,27,1,2,8,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,No Agent,NULL,0,Non-Corporate,0,Transient,108.3,0,2,Canceled,"Friday, May 29, 2015",10,1083,"Wednesday, July 1, 2015",2,No change
Resort Hotel,0,69,2015,July,27,2,2,4,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,175,NULL,0,Non-Corporate,0,Transient,65.5,0,0,Check-Out,"Wednesday, July 8, 2015",6,393,"Thursday, July 2, 2015",2,Changed
Resort Hotel,1,45,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,NULL,0,Non-Corporate,0,Transient,108.8,0,1,Canceled,"Tuesday, May 19, 2015",4,435.2,"Thursday, July 2, 2015",3,No change
Resort Hotel,1,40,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,NULL,0,Non-Corporate,0,Transient,108.8,0,1,Canceled,"Friday, June 19, 2015",4,435.2,"Thursday, July 2, 2015",3,No change
Resort Hotel,0,15,2015,July,27,2,1,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,98,0,0,Check-Out,"Monday, July 6, 2015",4,392,"Thursday, July 2, 2015",2,Changed
Resort Hotel,0,36,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,NULL,0,Non-Corporate,0,Transient,108.8,0,1,Check-Out,"Monday, July 6, 2015",4,435.2,"Thursday, July 2, 2015",3,No change
Resort Hotel,1,43,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,NULL,0,Non-Corporate,0,Transient,108.8,0,0,Canceled,"Saturday, May 23, 2015",4,435.2,"Thursday, July 2, 2015",3,No change
Resort Hotel,0,70,2015,July,27,2,2,3,2,0,0,HB,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,250,NULL,0,Non-Corporate,0,Transient,137,0,1,Check-Out,"Tuesday, July 7, 2015",5,685,"Thursday, July 2, 2015",2,No change
Resort Hotel,1,45,2015,July,27,2,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,NULL,0,Non-Corporate,0,Transient,117.81,0,0,Canceled,"Monday, May 18, 2015",5,589.05,"Thursday, July 2, 2015",2,No change
Resort Hotel,0,45,2015,July,27,2,2,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,NULL,0,Non-Corporate,0,Contract,79.5,0,0,Check-Out,"Tuesday, July 7, 2015",5,397.5,"Thursday, July 2, 2015",2,No change
Resort Hotel,0,16,2015,July,27,2,2,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,No Agent,NULL,0,Non-Corporate,0,Transient,123,0,0,Check-Out,"Tuesday, July 7, 2015",5,615,"Thursday, July 2, 2015",2,No change
Resort Hotel,0,107,2015,July,27,2,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,110.7,0,2,Check-Out,"Thursday, July 9, 2015",7,774.9,"Thursday, July 2, 2015",2,No change
Resort Hotel,1,47,2015,July,27,2,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,153,0,0,Canceled,"Tuesday, June 2, 2015",7,1071,"Thursday, July 2, 2015",4,No change
Resort Hotel,0,96,2015,July,27,2,2,5,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134,NULL,0,Non-Corporate,0,Transient,58.95,0,1,Check-Out,"Thursday, July 9, 2015",7,412.65,"Thursday, July 2, 2015",2,No change
Resort Hotel,0,113,2015,July,27,2,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,156,NULL,0,Non-Corporate,0,Transient-Party,82.88,0,2,Check-Out,"Thursday, July 9, 2015",7,580.16,"Thursday, July 2, 2015",2,No change
Resort Hotel,0,90,2015,July,27,2,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,243,NULL,0,Non-Corporate,0,Contract,82.35,0,0,Check-Out,"Thursday, July 9, 2015",7,576.45,"Thursday, July 2, 2015",2,Changed
Resort Hotel,0,50,2015,July,27,2,2,5,2,0,0,HB,IRL,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,241,NULL,0,Non-Corporate,0,Transient,119.35,0,1,Check-Out,"Thursday, July 9, 2015",7,835.45,"Thursday, July 2, 2015",2,Changed
Resort Hotel,0,113,2015,July,27,2,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156,NULL,0,Non-Corporate,0,Transient-Party,67.58,0,2,Check-Out,"Thursday, July 9, 2015",7,473.06,"Thursday, July 2, 2015",2,No change
Resort Hotel,0,93,2015,July,27,2,3,8,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156,NULL,0,Non-Corporate,0,Contract,56.01,0,0,Check-Out,"Monday, July 13, 2015",11,616.11,"Thursday, July 2, 2015",2,No change
Resort Hotel,0,76,2015,July,27,2,4,10,2,0,0,BB,OMN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243,NULL,0,Non-Corporate,0,Contract,110.7,0,0,Check-Out,"Thursday, July 16, 2015",14,1549.8,"Thursday, July 2, 2015",2,No change
Resort Hotel,0,3,2015,July,27,2,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,88.2,1,0,Check-Out,"Friday, July 3, 2015",1,88.2,"Thursday, July 2, 2015",2,Changed
Resort Hotel,0,1,2015,July,27,2,0,1,2,0,0,BB,ARG,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,147,1,0,Check-Out,"Friday, July 3, 2015",1,147,"Thursday, July 2, 2015",2,No change
Resort Hotel,0,1,2015,July,27,2,0,1,2,2,0,BB,ESP,Direct,Direct,0,0,0,C,C,0,No Deposit,No Agent,NULL,0,Non-Corporate,0,Transient,107,1,2,Check-Out,"Friday, July 3, 2015",1,107,"Thursday, July 2, 2015",4,No change
Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,No Agent,NULL,0,Non-Corporate,0,Transient,147,0,0,Check-Out,"Friday, July 3, 2015",1,147,"Thursday, July 2, 2015",2,No change
Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,117.9,0,2,Check-Out,"Friday, July 3, 2015",1,117.9,"Thursday, July 2, 2015",2,Changed
Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,No Agent,NULL,0,Non-Corporate,0,Transient,123,0,0,Check-Out,"Friday, July 3, 2015",1,123,"Thursday, July 2, 2015",2,No change
Resort Hotel,0,14,2015,July,27,2,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,242,NULL,0,Non-Corporate,0,Transient,98,0,1,Check-Out,"Saturday, July 4, 2015",2,196,"Thursday, July 2, 2015",2,Changed
Resort Hotel,0,10,2015,July,27,2,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,NULL,0,Non-Corporate,0,Transient,117.81,0,0,Check-Out,"Saturday, July 4, 2015",2,235.62,"Thursday, July 2, 2015",2,No change
Resort Hotel,0,5,2015,July,27,2,0,2,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,135,1,2,Check-Out,"Saturday, July 4, 2015",2,270,"Thursday, July 2, 2015",2,No change
Resort Hotel,0,17,2015,July,27,2,0,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,250,NULL,0,Non-Corporate,0,Transient,133,0,1,Check-Out,"Sunday, July 5, 2015",3,399,"Thursday, July 2, 2015",2,No change
Resort Hotel,0,93,2015,July,27,2,0,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,115,NULL,0,Non-Corporate,0,Contract,58.95,0,0,Check-Out,"Sunday, July 5, 2015",3,176.85,"Thursday, July 2, 2015",2,Changed
Resort Hotel,1,3,2015,July,27,2,0,3,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,136.33,0,2,Canceled,"Monday, June 29, 2015",3,408.99,"Thursday, July 2, 2015",2,No change
Resort Hotel,0,10,2015,July,27,3,0,2,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,H,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,153,1,0,Check-Out,"Sunday, July 5, 2015",2,306,"Friday, July 3, 2015",4,Changed
Resort Hotel,0,3,2015,July,27,3,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,110.5,0,0,Check-Out,"Sunday, July 5, 2015",2,221,"Friday, July 3, 2015",2,Changed
Resort Hotel,0,51,2015,July,27,3,0,2,2,0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242,NULL,0,Non-Corporate,0,Transient,97,0,0,Check-Out,"Sunday, July 5, 2015",2,194,"Friday, July 3, 2015",2,No change
Resort Hotel,1,71,2015,July,27,3,0,2,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,NULL,0,Non-Corporate,0,Transient,110.3,0,2,Canceled,"Tuesday, June 16, 2015",2,220.6,"Friday, July 3, 2015",3,No change
Resort Hotel,1,63,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,82,0,2,Canceled,"Thursday, June 18, 2015",2,164,"Friday, July 3, 2015",2,No change
Resort Hotel,1,62,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,97,0,1,Canceled,"Friday, July 3, 2015",2,194,"Friday, July 3, 2015",2,No change
Resort Hotel,1,101,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,73.8,0,1,Canceled,"Friday, June 12, 2015",2,147.6,"Friday, July 3, 2015",2,No change
Resort Hotel,0,2,2015,July,27,3,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3,NULL,0,Non-Corporate,0,Transient,91.5,0,0,Check-Out,"Sunday, July 5, 2015",2,183,"Friday, July 3, 2015",2,No change
Resort Hotel,0,15,2015,July,27,3,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,114.5,0,0,Check-Out,"Sunday, July 5, 2015",2,229,"Friday, July 3, 2015",2,No change
Resort Hotel,1,51,2015,July,27,3,0,2,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242,NULL,0,Non-Corporate,0,Transient,110.3,0,0,Canceled,"Tuesday, June 9, 2015",2,220.6,"Friday, July 3, 2015",3,No change
Resort Hotel,0,3,2015,July,27,3,1,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,90.9,1,0,Check-Out,"Monday, July 6, 2015",3,272.7,"Friday, July 3, 2015",2,No change
Resort Hotel,1,48,2015,July,27,3,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,123,0,0,Canceled,"Tuesday, May 26, 2015",3,369,"Friday, July 3, 2015",2,No change
Resort Hotel,0,2,2015,July,27,3,2,2,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,122,0,0,Check-Out,"Tuesday, July 7, 2015",4,488,"Friday, July 3, 2015",1,No change
Resort Hotel,0,72,2015,July,27,3,2,2,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,105,NULL,0,Non-Corporate,0,Transient,110.7,1,0,Check-Out,"Tuesday, July 7, 2015",4,442.8,"Friday, July 3, 2015",2,No change
Resort Hotel,0,81,2015,July,27,3,2,6,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,NULL,0,Non-Corporate,0,Transient,85.86,0,0,Check-Out,"Saturday, July 11, 2015",8,686.88,"Friday, July 3, 2015",3,No change
Resort Hotel,0,99,2015,July,27,3,2,7,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,NULL,0,Non-Corporate,0,Contract,58.95,0,0,Check-Out,"Sunday, July 12, 2015",9,530.55,"Friday, July 3, 2015",2,No change
Resort Hotel,1,368,2015,July,27,3,3,7,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,NULL,0,Non-Corporate,0,Contract,55.68,0,0,Canceled,"Tuesday, May 19, 2015",10,556.8,"Friday, July 3, 2015",2,No change
Resort Hotel,0,364,2015,July,27,3,3,7,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,NULL,0,Non-Corporate,0,Contract,55.68,0,0,Check-Out,"Monday, July 13, 2015",10,556.8,"Friday, July 3, 2015",2,No change
Resort Hotel,1,81,2015,July,27,3,3,7,2,0,0,HB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,250,NULL,0,Non-Corporate,0,Transient,124,0,1,Canceled,"Tuesday, June 9, 2015",10,1240,"Friday, July 3, 2015",2,No change
Resort Hotel,0,99,2015,July,27,3,3,7,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,115,NULL,0,Non-Corporate,0,Contract,111.15,0,0,Check-Out,"Monday, July 13, 2015",10,1111.5,"Friday, July 3, 2015",2,No change
Resort Hotel,0,324,2015,July,27,3,4,10,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40,NULL,0,Non-Corporate,0,Contract,134.73,0,0,Check-Out,"Friday, July 17, 2015",14,1886.22,"Friday, July 3, 2015",2,No change
Resort Hotel,0,69,2015,July,27,3,4,10,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,241,NULL,0,Non-Corporate,0,Transient,92.45,0,1,Check-Out,"Friday, July 17, 2015",14,1294.3,"Friday, July 3, 2015",2,No change
Resort Hotel,1,79,2015,July,27,3,6,15,2,1,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,NULL,0,Non-Corporate,0,Transient,108.73,0,2,Canceled,"Wednesday, April 15, 2015",21,2283.33,"Friday, July 3, 2015",3,No change
Resort Hotel,0,12,2015,July,27,3,0,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,73.8,0,0,Check-Out,"Saturday, July 4, 2015",1,73.8,"Friday, July 3, 2015",2,Changed
Resort Hotel,0,9,2015,July,27,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,98,1,2,Check-Out,"Saturday, July 4, 2015",1,98,"Friday, July 3, 2015",2,Changed
Resort Hotel,0,1,2015,July,27,3,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,131,0,1,Check-Out,"Saturday, July 4, 2015",1,131,"Friday, July 3, 2015",2,Changed
Resort Hotel,0,21,2015,July,27,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,123,0,0,Check-Out,"Saturday, July 4, 2015",1,123,"Friday, July 3, 2015",2,No change
Resort Hotel,0,9,2015,July,27,3,0,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,241,NULL,0,Non-Corporate,0,Transient,94.71,0,0,Check-Out,"Saturday, July 4, 2015",1,94.71,"Friday, July 3, 2015",2,No change
Resort Hotel,0,109,2015,July,27,3,0,1,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,123,0,2,Check-Out,"Saturday, July 4, 2015",1,123,"Friday, July 3, 2015",2,No change
Resort Hotel,1,109,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,123,0,1,Canceled,"Tuesday, May 26, 2015",2,246,"Friday, July 3, 2015",2,No change
Resort Hotel,1,72,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,73.8,0,1,Canceled,"Monday, June 29, 2015",2,147.6,"Friday, July 3, 2015",2,No change
Resort Hotel,1,63,2015,July,27,3,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,242,NULL,0,Non-Corporate,0,Transient,117,0,1,Canceled,"Wednesday, May 13, 2015",7,819,"Friday, July 3, 2015",2,No change
Resort Hotel,0,63,2015,July,27,3,2,5,3,0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,105,NULL,0,Non-Corporate,0,Transient,196.54,0,1,Check-Out,"Friday, July 10, 2015",7,1375.78,"Friday, July 3, 2015",3,No change
Resort Hotel,0,101,2015,July,27,3,2,5,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,99.3,1,2,Check-Out,"Friday, July 10, 2015",7,695.1,"Friday, July 3, 2015",3,No change
Resort Hotel,0,102,2015,July,27,3,2,5,2,0,0,BB,DEU,Direct,Direct,0,0,0,E,E,0,No Deposit,250,NULL,0,Non-Corporate,0,Transient,90.95,0,0,Check-Out,"Friday, July 10, 2015",7,636.65,"Friday, July 3, 2015",2,No change
